MATRICULA,COORD. X,COORD. Y
13635107,-2.4869633000000000,-44.2574554900000000
435449,-2.5112237900000000,-44.2554858000000000
13634267,-2.4880570900000000,-44.2568814900000000
883484,-2.4833639900000000,-44.2547447900000000
3658970,-2.5938256000000000,-44.2304116900000000
302961,-2.5369953900000000,-44.2673237900000000
332640,-2.5405310900000000,-44.2677520000000000
14831546,0,0
1505025,-2.5956475000000000,-44.2486080900000000
1257994,-2.5809155000000000,-44.1962126000000000
1468901,-2.5421936900000000,-44.3294477000000000
318795,-2.5377369900000000,-44.2750844900000000
289477,-2.5349097000000000,-44.2763593000000000
182532,0,0
1866982,-2.5368905000000000,-44.2881908000000000
4499379,-2.6095621000000000,-44.2089168900000000
693383,-2.5452205000000000,-44.2215778900000000
696323,-2.5449885900000000,-44.2161582900000000
1047159,-2.5503859000000000,-44.2132731000000000
1640160,-2.5257691000000000,-44.2213217900000000
14787148,0,0
10900608,-2.5208886900000000,-44.2175257900000000
411752,-2.5337945900000000,-44.2436424900000000
2381567,-2.5363516900000000,-44.2371370900000000
1840908,-2.5329660000000000,-44.2007039000000000
1835220,-2.5328151000000000,-44.1977249900000000
911305,-2.5056886900000000,-44.3035051000000000
13442643,-2.6031876000000000,-44.2084935900000000
349534,-2.5443763900000000,-44.2738250000000000
4640233,-2.5179184000000000,-44.2400534000000000
922412,-2.5122067900000000,-44.2998785900000000
13320319,0,0
3641503,-2.6018973900000000,-44.2262935900000000
605344,-2.5547857900000000,-44.2462496900000000
14831686,0,0
10103910,-2.5456438000000000,-44.3106934900000000
1559761,-2.6179646000000000,-44.2600454000000000
2612860,-2.5369350000000000,-44.2648605900000000
11166673,-2.5449771000000000,-44.2101814900000000
1108654,-2.5393805900000000,-44.2113715900000000
1617788,-2.5439052000000000,-44.2547895000000000
551341,-2.5424891900000000,-44.2551348000000000
1337386,-2.5036488000000000,-44.3064365900000000
700711,-2.5343797000000000,-44.2219805000000000
700908,-2.5339927000000000,-44.2218376000000000
790206,-2.5664245900000000,-44.2176809900000000
9158715,-2.5592739900000000,-44.2151706000000000
9001271,-2.5772908000000000,-44.2196423900000000
414760,-2.5362393000000000,-44.2468718000000000
2190176,-2.5578604900000000,-44.3228306000000000
3578771,-2.5576886900000000,-44.2291845000000000
3377121,-2.5528504900000000,-44.2324309900000000
740772,-2.5522946000000000,-44.2389731000000000
610534,-2.5537344000000000,-44.2418521900000000
9147004,-2.5230648000000000,-44.2354910900000000
8802068,-2.5201722000000000,-44.2398651900000000
9907327,-2.5239522900000000,-44.2294748900000000
3431975,-2.5638412900000000,-44.2423435900000000
3347990,-2.5013299900000000,-44.2156159000000000
1455982,-2.5047337900000000,-44.2191418900000000
454990,-2.5008609000000000,-44.2405503900000000
9112260,-2.5059157000000000,-44.2211994900000000
862460,-2.4815567900000000,-44.2305108900000000
3354504,-2.5260229000000000,-44.2617917000000000
1142984,-2.5636340900000000,-44.3154923000000000
14834308,0,0
14834200,0,0
1157167,-2.5420503000000000,-44.2879468000000000
1245287,-2.5681517000000000,-44.1955500900000000
388602,-2.5343591000000000,-44.2599795000000000
1235559,-2.5739184900000000,-44.2004316000000000
2872447,-2.5673922000000000,-44.2041997900000000
6122,-2.5345087900000000,-44.3031089900000000
98280,-2.5400461000000000,-44.2956463000000000
103403,-2.5410954000000000,-44.2923759900000000
2338149,-2.5391732000000000,-44.2853319000000000
201111,-2.5361889900000000,-44.2845798900000000
682250,-2.5503464000000000,-44.2294574000000000
10334300,-2.5451328000000000,-44.2401477000000000
633674,-2.5459477900000000,-44.2353396900000000
132870,-2.5283448000000000,-44.2849184000000000
801437,-2.5537622900000000,-44.2147216900000000
14754568,0,0
722529,-2.5402651000000000,-44.2186324900000000
1262688,-2.5821801900000000,-44.1963221000000000
1264583,-2.5811014900000000,-44.1957182000000000
473391,-2.5332696000000000,-44.2677315900000000
735760,-2.5271903000000000,-44.2213720000000000
1839381,-2.5350972900000000,-44.2006839000000000
2105144,-2.5762456900000000,-44.1923115900000000
224227,-2.5440203900000000,-44.2778479900000000
1202669,-2.5784707900000000,-44.2050945000000000
3222691,-2.5618335000000000,-44.3343928900000000
2312930,-2.5593045900000000,-44.2782413900000000
476870,-2.5079392000000000,-44.2518760000000000
503266,-2.5515650900000000,-44.2596375900000000
848530,-2.5594969000000000,-44.2289248000000000
2611490,-2.5369350000000000,-44.2648605900000000
14642506,-2.4861919900000000,-44.2588251900000000
1194291,-2.5830022900000000,-44.2003058900000000
3110567,-2.4958833000000000,-44.2252671000000000
9052160,-2.4910193000000000,-44.2426648000000000
895350,-2.4927437900000000,-44.3023659900000000
11397527,-2.5214165900000000,-44.2387409900000000
7122837,-2.4910193000000000,-44.2426648000000000
1489828,-2.5572365000000000,-44.3034596900000000
14801906,0,0
652385,-2.5333169900000000,-44.2374755000000000
2381567,-2.5363516900000000,-44.2371370900000000
4226631,-2.5114366900000000,-44.2474569900000000
9123067,-2.4956659900000000,-44.2549052900000000
889474,-2.4927958900000000,-44.2681268900000000
7207727,-2.5275782000000000,-44.2471764000000000
14469618,-2.4934411000000000,-44.2640424000000000
849758,-2.5064245900000000,-44.2239690900000000
27316,-2.5281653900000000,-44.2990702900000000
600237,0,0
10129537,-2.5447030900000000,-44.3116611000000000
